,Code,Name,Close,ChangeCode,Changes,ChagesRatio,Amount,Marcap,Stocks,BPS,PER,PBR,EPS,DIV,DPS
0,005930,삼성전자,75200,2,-2400,-3.09,2312008038097,448927647760000,5969782550,52002,35.29,1.45,2131,1.92,1444
1,000660,SK하이닉스,202500,3,0,0.0,625798561849,147420478912500,728002365,77752,0.0,2.6,0,0.59,1200
2,373220,LG에너지솔루션,342000,2,-18000,-5.0,134975298500,80028000000000,234000000,86328,64.69,3.96,5287,0.0,0
3,005380,현대차,261000,2,-4000,-1.51,251331128000,54657625851000,209416191,351861,5.71,0.74,45703,4.37,11400
4,207940,삼성바이오로직스,727000,2,-18000,-2.42,65161519000,51743498000000,71174000,138119,60.33,5.26,12051,0.0,0
5,000270,기아,122000,2,-400,-0.33,154821979400,48782726874000,399858417,117495,5.5,1.04,22168,4.59,5600
6,068270,셀트리온,178900,2,-2000,-1.11,88103082500,38820087594700,216993223,81950,47.59,2.18,3759,0.28,500
7,005490,POSCO홀딩스,374000,2,-9000,-2.35,169304890000,31629640020000,84571230,714069,16.71,0.52,22382,2.67,10000
8,105560,KB금융,78100,1,1000,1.3,105803099737,31514214723200,403511072,150344,6.74,0.52,11580,3.92,3060
9,035420,NAVER,175300,2,-2100,-1.18,158971448400,28470226528200,162408594,154077,26.32,1.14,6661,0.69,1205
10,006400,삼성SDI,385000,2,-19500,-4.82,230425054400,26474344050000,68764530,276815,12.81,1.39,30044,0.26,1000
11,051910,LG화학,370500,2,-20500,-5.24,217323782500,26154463081500,70592343,411275,21.68,0.9,17086,0.94,3500
12,028260,삼성물산,134800,2,-3700,-2.67,50824278500,23965297623600,177784107,209233,9.94,0.64,13556,1.89,2550
13,055550,신한지주,46300,2,-250,-0.54,51632539750,23584905808200,509393214,104769,5.75,0.44,8048,4.54,2100
14,012330,현대모비스,217500,2,-1500,-0.68,57555016791,20369982945000,93655094,448144,5.78,0.49,37639,2.07,4500
15,003670,포스코퓨처엠,255000,2,-12000,-4.49,93753112500,19753121100000,77463220,30357,687.33,8.4,371,0.1,250
16,035720,카카오,43750,2,-1350,-2.99,63394856800,19395520593750,443326185,22281,0.0,1.96,0,0.14,61
17,066570,LG전자,110500,1,1200,1.1,539497597800,18083083447000,163647814,109209,27.95,1.01,3954,0.72,800
18,086790,하나금융지주,61500,2,-200,-0.32,36868626700,17979930777000,292356598,136601,5.4,0.45,11380,5.53,3400
19,032830,삼성생명,85500,2,-1500,-1.72,16793568800,17100000000000,200000000,236324,8.1,0.36,10554,4.33,3700
20,000810,삼성화재,341000,2,-3000,-0.87,23615794500,16154819417000,47374837,379073,7.97,0.9,42777,4.69,16000
21,138040,메리츠금융지주,75500,2,-1100,-1.44,38590183200,14399368607000,190720114,50457,6.85,1.5,11020,3.13,2360
22,034020,두산에너빌리티,20950,2,-850,-3.9,512645367650,13419756008700,640561146,11113,240.8,1.89,87,0.0,0
23,003550,LG,81500,1,100,0.12,19470220800,12820030929500,157300993,167498,10.15,0.49,8032,3.8,3100
