,No.,Symbol,Company Name,Market Cap,Stock Price,Revenue,Asset Turnover,Ent. Value,PE Ratio,Div. Yield,Div. Growth,Op. Income,Net Income,EPS,EBIT,EBITDA,Operating CF,Investing CF,Financing CF,Net CF,Income Tax,Total Debt,Debt Growth (YoY),Assets,Liabilities,PB Ratio,EV/EBITDA,Beta (1Y),ATR,Short Ratio
0,1,MSFT,Microsoft Corporation,3198271639200,430.32,236584000000.0,0.52,3198161639200.0,37.26,0.70%,10.15%,105762000000.0,86181000000.0,11.55,107980000000.0,127761000000.0,110123000000.0,-91256000000.0,-25607000000.0,-6928000000.0,19083000000.0,79911000000.0,0.3204,484275000000.0,231123000000.0,12.63,25.03,0.89,6.89,2.18
1,2,AAPL,Apple Inc,2913325659000,189.99,381623000000.0,1.11,2855578659000.0,29.55,0.53%,4.30%,118240000000.0,100389000000.0,6.43,120112000000.0,131501000000.0,110563000000.0,4448000000.0,-108219000000.0,6792000000.0,17723000000.0,104590000000.0,-0.0458,337411000000.0,263217000000.0,39.27,21.72,1.26,3.34,1.66
2,3,NVDA,NVIDIA Corporation,2847525000000,1139.01,60922000000.0,1.14,2832369000000.0,95.47,0.01%,287.50%,32972000000.0,29760000000.0,11.93,34075000000.0,35583000000.0,28090000000.0,-10566000000.0,-13633000000.0,3891000000.0,4058000000.0,10828000000.0,-0.0866,65728000000.0,22750000000.0,66.26,79.6,1.75,40.6,0.58
3,4,GOOG,Alphabet Inc.,2190604934103,178.02,318146000000.0,0.8,2107699934103.0,27.3,0.45%,0,92350000000.0,82406000000.0,6.52,96149000000.0,108322000000.0,107085000000.0,-32681000000.0,-75239000000.0,-1431000000.0,13421000000.0,25185000000.0,-0.0495,407350000000.0,114506000000.0,7.48,19.46,1.02,3.48,1.78
4,5,GOOGL,Alphabet Inc.,2187476557711,176.4,318146000000.0,0.8,2104571557711.0,27.06,0.45%,0,92350000000.0,82406000000.0,6.52,96149000000.0,108322000000.0,107085000000.0,-32681000000.0,-75239000000.0,-1431000000.0,13421000000.0,25185000000.0,-0.0495,407350000000.0,114506000000.0,7.47,19.43,1.02,3.51,1.81
5,6,AMZN,"Amazon.com, Inc.",1895562190000,182.15,590740000000.0,1.17,1945174190000.0,50.88,0,0,47385000000.0,37684000000.0,3.58,49326000000.0,98550000000.0,99147000000.0,-51889000000.0,-23489000000.0,23598000000.0,8639000000.0,134686000000.0,-0.0472,530969000000.0,314308000000.0,8.75,19.74,1.16,3.81,1.55
6,7,META,"Meta Platforms, Inc.",1217333518700,479.92,142711000000.0,0.65,1196846518700.0,27.6,0.10%,0,53342000000.0,45757000000.0,17.39,54303000000.0,66331000000.0,76361000000.0,-26486000000.0,-28751000000.0,20864000000.0,8546000000.0,37633000000.0,0.36479999999999996,222844000000.0,73315000000.0,8.14,18.04,1.21,12.45,1.51
7,8,BRK.B,Berkshire Hathaway Inc.,873846618196,403.9,368958000000.0,0.35,807607618196.0,11.92,0,0,51435000000.0,73421000000.0,33.88,51435000000.0,64038000000.0,51069000000.0,-27947000000.0,-14285000000.0,8872000000.0,16898000000.0,122754000000.0,-0.006999999999999999,1070035000000.0,492250000000.0,1.53,12.61,0.89,4.67,3.67
8,9,LLY,Eli Lilly and Company,767794183300,807.86,35932100000.0,0.6,791419283300.0,118.98,0.64%,15.17%,7561000000.0,6138400000.0,6.79,7561000000.0,9126600000.0,3675500000.0,-7641500000.0,2772000000.0,-1085700000.0,1422600000.0,26211400000.0,0.3881,63943500000.0,51046100000.0,59.93,86.72,0.37,17.84,1.96
9,10,AVGO,Broadcom Inc.,654558991450,1412.45,38865000000.0,0.4,718595991450.0,52.35,1.49%,13.22%,14187000000.0,11633000000.0,26.98,14792000000.0,19940000000.0,18864000000.0,-26063000000.0,6416000000.0,-783000000.0,1017000000.0,75901000000.0,0.9322,177870000000.0,107586000000.0,9.31,36.04,1.26,37.85,2.31
10,11,JPM,JPMorgan Chase & Co.,572898165000,199.5,161689000000.0,0.04,778592165000.0,12.04,2.31%,6.25%,71867000000.0,48509000000.0,16.57,61098000000.0,68965000000.0,-29943000000.0,470000000.0,51040000000.0,16116000000.0,12589000000.0,767810000000.0,0.3145,4090727000000.0,3754090000000.0,1.7,11.29,1.12,3.42,2.24
11,12,TSLA,"Tesla, Inc.",563691100000,176.75,94745000000.0,0.95,542188100000.0,45.09,0,0,7398000000.0,13613000000.0,3.92,8963000000.0,13830000000.0,10985000000.0,-18184000000.0,3018000000.0,-4306000000.0,-4853000000.0,5360000000.0,1.003,109226000000.0,44046000000.0,8.76,39.2,2.41,7.78,0.95
12,13,V,Visa Inc.,542230194429,270.98,34141000000.0,0.38,543546194429.0,30.31,0.77%,16.52%,21882000000.0,18390000000.0,8.94,22971000000.0,23949000000.0,20876000000.0,-4236000000.0,-16752000000.0,-180000000.0,3947000000.0,20603000000.0,-0.0001,92399000000.0,51914000000.0,13.39,22.7,0.95,3.61,4.46
13,14,WMT,Walmart Inc.,524208741600,65.04,648125000000.0,2.56,575662741600.0,34.05,1.28%,9.21%,27012000000.0,15511000000.0,1.91,23772000000.0,35625000000.0,35726000000.0,-21287000000.0,-13414000000.0,1094000000.0,5578000000.0,61321000000.0,0.0407,252399000000.0,162050000000.0,6.25,16.16,0.49,1.02,2.45
14,15,XOM,Exxon Mobil Corporation,515253919800,114.86,341101000000.0,0.92,522344919800.0,14.08,3.31%,4.16%,49260000000.0,32800000000.0,8.16,47983000000.0,69192000000.0,53692000000.0,-18926000000.0,-33772000000.0,673000000.0,14272000000.0,40440000000.0,-0.024300000000000002,377918000000.0,164866000000.0,2.51,7.55,0.95,2.17,6.23
