No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue,Asset Turnover,Ent. Value,PE Ratio,Div. Yield,Div. Growth,Op. Income,Net Income,EPS,EPS Growth,EBIT,EBITDA,Operating CF,Investing CF,Financing CF,Net CF,Income Tax,FCF Growth,Total Debt,Debt Growth (YoY),Assets,Liabilities,PB Ratio,EV/EBITDA,Beta (1Y),ATR,Short Ratio,Net WC
1,MSFT,Microsoft Corporation,3198271639200,430.32,0.04%,236584000000,0.52,3198161639200,37.26,0.70%,10.15%,105762000000,86181000000,11.55,25.00%,107980000000,127761000000,110123000000,-91256000000,-25607000000,-6928000000,19083000000,22.94%,79911000000,32.04%,484275000000,231123000000,12.63,25.03,0.89,6.89,2.18,-28582000000
2,AAPL,Apple Inc,2913325659000,189.99,0.01%,381623000000,1.11,2855578659000,29.55,0.53%,4.30%,118240000000,100389000000,6.43,9.17%,120112000000,131501000000,110563000000,4448000000,-108219000000,6792000000,17723000000,4.54%,104590000000,-4.58%,337411000000,263217000000,39.27,21.72,1.26,3.34,1.66,-49797000000
3,NVDA,NVIDIA Corporation,2847525000000,1139.01,6.98%,60922000000,1.14,2832369000000,95.47,0.01%,287.50%,32972000000,29760000000,11.93,585.63%,34075000000,35583000000,28090000000,-10566000000,-13633000000,3891000000,4058000000,609.59%,10828000000,-8.66%,65728000000,22750000000,66.26,79.60,1.75,40.60,0.58,8980000000
4,GOOG,Alphabet Inc.,2190604934103,178.02,0.96%,318146000000,0.80,2107699934103,27.30,0.45%,,92350000000,82406000000,6.52,44.89%,96149000000,108322000000,107085000000,-32681000000,-75239000000,-1431000000,13421000000,11.63%,25185000000,-4.95%,407350000000,114506000000,7.48,19.46,1.02,3.48,1.78,-19616000000
5,GOOGL,Alphabet Inc.,2187476557711,176.40,0.81%,318146000000,0.80,2104571557711,27.06,0.45%,,92350000000,82406000000,6.52,44.89%,96149000000,108322000000,107085000000,-32681000000,-75239000000,-1431000000,13421000000,11.63%,25185000000,-4.95%,407350000000,114506000000,7.47,19.43,1.02,3.51,1.81,-19616000000
6,AMZN,"Amazon.com, Inc.",1895562190000,182.15,0.77%,590740000000,1.17,1945174190000,50.88,,,47385000000,37684000000,3.58,773.17%,49326000000,98550000000,99147000000,-51889000000,-23489000000,23598000000,8639000000,,134686000000,-4.72%,530969000000,314308000000,8.75,19.74,1.16,3.81,1.55,-74050000000
7,META,"Meta Platforms, Inc.",1217333518700,479.92,0.36%,142711000000,0.65,1196846518700,27.60,0.10%,,53342000000,45757000000,17.39,115.49%,54303000000,66331000000,76361000000,-26486000000,-28751000000,20864000000,8546000000,180.96%,37633000000,36.48%,222844000000,73315000000,8.14,18.04,1.21,12.45,1.51,-9215000000
8,BRK.B,Berkshire Hathaway Inc.,873846618196,403.90,-0.86%,368958000000,0.35,807607618196,11.92,,,51435000000,73421000000,33.88,879.19%,51435000000,64038000000,51069000000,-27947000000,-14285000000,8872000000,16898000000,34.69%,122754000000,-0.70%,1070035000000,492250000000,1.53,12.61,0.89,4.67,3.67,50003000000
9,LLY,Eli Lilly and Company,767794183300,807.86,0.05%,35932100000,0.60,791419283300,118.98,0.64%,15.17%,7561000000,6138400000,6.79,7.95%,7561000000,9126600000,3675500000,-7641500000,2772000000,-1085700000,1422600000,,26211400000,38.81%,63943500000,51046100000,59.93,86.72,0.37,17.84,1.96,5655900000
10,AVGO,Broadcom Inc.,654558991450,1412.45,0.33%,38865000000,0.40,718595991450,52.35,1.49%,13.22%,14187000000,11633000000,26.98,-9.19%,14792000000,19940000000,18864000000,-26063000000,6416000000,-783000000,1017000000,9.09%,75901000000,93.22%,177870000000,107586000000,9.31,36.04,1.26,37.85,2.31,-2608000000
